N,k,outlier_percent,z,charikar_radius,charikar_time,gonzalez_radius,gonzalez_time,LP_Radius,LP_Time,SimplifiedDRG_radius,SimplifiedDRG_time,OC_Forward_radius,OC_Forward_time,OC_Local_radius,OC_Local_time,DingRKC_radius,DingRKC_time
500,10,0.1,50,2.293026,0.0411,2.347544,0.001518,1.781567314,12.1894,2.476890802383423,0.0018489360809326,2.1075148582458496,0.0032930374145507,2.0848581790924072,0.009282112121582,2.19807053,0.058422
500,10,0.2,100,1.710126,0.0514,1.794867,0.000188,1.454164603,7.797,1.8609135150909424,0.0003368854522705,1.7086552381515503,0.0065782070159912,1.6822408437728882,0.0112590789794921,1.79653573,0.138438
500,20,0.1,50,1.73739,0.0656,1.804958,0.000332,1.396085515,6.8674,1.901821494102478,0.0008587837219238,1.7912510633468628,0.0067362785339355,1.7662585973739624,0.0185158252716064,1.75854075,0.106965
500,20,0.2,100,1.421619,0.0791,1.439944,0.000357,1.190512775,5.1429,1.5614922046661377,0.0006270408630371,1.3645881414413452,0.0126383304595947,1.3507273197174072,0.0269360542297363,1.46148741,0.213161
500,50,0.1,50,1.353,0.1373,1.353229,0.000772,1.044301669,3.4549,1.3518389463424685,0.0015308856964111,1.3303179740905762,0.0185861587524414,1.300015211105347,0.0304789543151855,1.31901288,0.249925
500,50,0.2,100,1.125,0.1492,1.071111,0.000911,0.8614662725,2.7172,1.1077097654342651,0.0014350414276123,1.0498783588409424,0.0322880744934082,1.0446712970733645,0.0445220470428466,1.0740329,0.518191
1000,10,0.1,100,2.152947,0.1506,2.429189,0.00027,1.803763113,122.1334,2.2921407222747803,0.0005960464477539,2.116579055786133,0.0114428997039794,2.0441701412200928,0.0300359725952148,2.15184832,0.162547
1000,10,0.2,200,1.720983,0.1982,1.976952,0.000267,1.47758163,51.6682,1.9651131629943848,0.0006070137023925,1.6831718683242798,0.0235600471496582,1.6450539827346802,0.0325918197631835,1.78216243,0.333428
1000,20,0.1,100,1.779135,0.249,1.866454,0.000484,1.460662755,52.4605,1.910261154174805,0.0011899471282958,1.7294257879257202,0.0223329067230224,1.715378761291504,0.0295460224151611,1.80568337,0.323704
1000,20,0.2,200,1.400784,0.298,1.456671,0.000511,1.195066574,26.9873,1.5332245826721191,0.001147985458374,1.3958345651626587,0.0445270538330078,1.3847575187683103,0.0545990467071533,1.52281141,0.647348
1000,50,0.1,100,1.368,0.4569,1.39347,0.001242,1.107916988,22.1193,1.3294273614883425,0.002821922302246,1.3786269426345823,0.0577948093414306,1.3671164512634275,0.074186086654663,1.37911034,0.812057
1000,50,0.2,200,1.0863,0.7242,1.155639,0.001336,0.890149018,16.4312,1.152164101600647,0.0028691291809082,1.0622650384902954,0.1060967445373535,1.0588912963867188,0.1257200241088867,1.10264933,1.642842
2000,10,0.1,200,2.0145,0.6354,2.459514,0.000815,1.801004735,1096.0586,2.4076366424560547,0.0011889934539794,2.042212724685669,0.0448989868164062,2.008885383605957,0.0712850093841552,2.251547336578369,0.0230548381805419
2000,10,0.2,400,1.632,0.8155,1.910563,0.000922,1.477757284,473.9481,1.7989240884780884,0.0011830329895019,1.656419277191162,0.0899038314819336,1.6077114343643188,0.1153616905212402,1.7425379753112793,0.0232598781585693
2000,20,0.1,200,1.731,1.0305,1.950309,0.001827,1.458563794,493.5404,1.8700029850006104,0.0024187564849853,1.6961653232574463,0.082637071609497,1.6674973964691162,0.1043882369995117,1.8331743478775024,0.0473811626434326
2000,20,0.2,400,1.396,1.2248,1.586505,0.002078,1.207354204,194.2452,1.535022258758545,0.0023419857025146,1.3324377536773682,0.1693599224090576,1.3246159553527832,0.1820681095123291,1.4857722520828247,0.0472540855407714
2000,50,0.1,200,1.372,2.0759,1.48046,0.005439,1.107394906,140.128,1.4751161336898804,0.005821943283081,1.36298930644989,0.2044019699096679,1.3548812866210938,0.2557258605957031,1.4150056838989258,0.1201741695404052
2000,50,0.2,400,1.0544,2.8832,1.195763,0.004711,0.908636899,101.5067,1.1339404582977295,0.0058560371398925,1.0425019264221191,0.4122669696807861,1.0404537916183472,0.5146369934082031,1.1119760274887085,0.1541728973388672
5000,10,0.1,500,2.047209,4.3124,2.291372,0.001589,1.821315348,23263.1275,2.2464897632598877,0.0030117034912109,2.049192428588867,0.1837399005889892,2.0245110988616943,0.2869851589202881,2.17037582,2.79438
5000,10,0.2,1000,1.657443,5.8135,1.793847,0.001826,1.499017291,8075.7852,1.9701908826828003,0.0030651092529296,1.6597108840942385,0.4647977352142334,1.6510354280471802,0.5118007659912109,1.80533302,5.745972
5000,20,0.1,500,1.696536,7.3616,1.842888,0.004375,1.498401844,192307.7601,1.9380102157592771,0.006317138671875,1.7145898342132568,0.3133292198181152,1.697263240814209,0.4371528625488281,1.87054753,5.214548
5000,20,0.2,1000,1.369305,9.4376,1.475967,0.003595,1.232265063,188272.5529,1.510536789894104,0.0060720443725585,1.379342794418335,0.8574368953704834,1.37109112739563,1.2875230312347412,1.46489561,11.383227
5000,50,0.1,500,1.386,12.8055,1.476463,0.008816,1.157118612,186606.0143,1.5016247034072876,0.0159249305725097,1.3671164512634275,0.7860429286956787,1.364563226699829,0.8896999359130859,1.45225036,13.166246
5000,50,0.2,1000,1.0799,20.2415,1.147963,0.008715,0.938812787,185766.3631,1.218000888824463,0.0164809226989746,1.0621551275253296,2.459220170974731,1.0571097135543823,2.8485708236694336,1.19608986,28.965675
10000,10,0.1,1000,2.086899,17.0375,2.375994,0.002228,1.842761,120345.4721,2.414816379547119,0.0064809322357177,2.0540692806243896,1.1145870685577393,2.029299736022949,1.650889873504639,2.17234063,12.055272
10000,10,0.2,2000,1.677009,21.6553,1.809641,0.002571,1.500199163,81679.8832,1.938413143157959,0.006486177444458,1.6690576076507568,2.6000449657440186,1.6469647884368896,2.887964963912964,1.7745645,26.178753
10000,20,0.1,1000,1.745952,28.2295,2.021746,0.004741,1.518918293,89351.8469,1.9522935152053833,0.0136451721191406,1.7356728315353394,1.977247953414917,1.7231566905975342,2.7549490928649902,1.8779242,22.156677
10000,20,0.2,2000,1.382541,37.7078,1.482378,0.006014,1.232119913,37545.6627,1.5919196605682373,0.0136110782623291,1.3606152534484863,5.196162700653076,1.3534235954284668,6.158561944961548,1.50600708,44.625116
10000,50,0.1,1000,1.367,58.5536,1.522736,0.013837,1.181366098,23958.5637,1.58092200756073,0.0337300300598144,1.3598947525024414,5.317018985748291,1.3560117483139038,6.4138782024383545,1.48219645,52.304561
10000,50,0.2,2000,1.0741,87.2888,1.179058,0.01432,0.942809407,13634.0469,1.2261732816696167,0.0339877605438232,1.0631093978881836,12.937602043151855,1.0571069717407229,14.486871004104614,1.18476379,107.956672
20000,10,0.1,2000,2.013654,76.7774,2.333395,0.003416,1.792315,312487.5543,2.459397554397583,0.0142867565155029,2.0057618618011475,5.484942197799683,1.980973958969116,7.353456974029541,2.18161774,48.892058
20000,10,0.2,4000,1.647786,97.7382,1.926569,0.003668,1.468204,215906.3375,1.779657006263733,0.0142738819122314,1.6653740406036377,10.867618083953856,1.64539635181427,13.222742080688477,1.77906811,94.461918
20000,20,0.1,2000,1.728363,120.549,1.938769,0.006879,1.472006,338754.9028,2.0052242279052734,0.0291461944580078,1.706629991531372,10.53996968269348,1.6920720338821411,13.454310894012451,1.82427824,88.544232
20000,20,0.2,4000,1.367316,168.0604,1.553954,0.007683,1.221534,208445.7712,1.5649659633636477,0.0295250415802001,1.360135555267334,20.73756694793701,1.354015231132507,24.82297992706299,1.51544845,177.280377
20000,50,0.1,2000,1.365,362.7796,1.52091,0.018169,1.110284,164932.1186,1.5106849670410156,0.0748500823974609,1.3467292785644531,26.587120056152344,1.3442596197128296,33.439295053482056,1.47812879,208.587048
20000,50,0.2,4000,1.072,564.3467,1.20183,0.018965,0.950262412,139607.8656,1.1953574419021606,0.07269287109375,1.0599356889724731,52.31829214096069,1.0587246417999268,57.18601202964783,1.18864918,431.027858
